dataset,r,c,direction,method,balanced_accuracy_observed,balanced_accuracy_oracle
blood_transfusion,0.5,0.2,minority_to_majority,tabpfn_distpfn,0.6413255360623782,0.5355750487329435
blood_transfusion,0.5,0.3,majority_to_minority,tabpfn_distpfn,0.5185185185185185,0.5
blood_transfusion,0.5,0.3,minority_to_majority,tabpfn_distpfn,0.5733430799220273,0.5309454191033138
breast_cancer_wisconsin,0.05,0.0,clean,tabpfn_distpfn,0.9017857142857144,0.9017857142857144
breast_cancer_wisconsin,0.05,0.05,majority_to_minority,tabpfn_distpfn,0.9629629629629628,0.9669312169312168
breast_cancer_wisconsin,0.05,0.05,minority_to_majority,tabpfn_distpfn,0.9470899470899472,0.949404761904762
breast_cancer_wisconsin,0.05,0.1,majority_to_minority,tabpfn_distpfn,0.9464285714285716,0.9480820105820106
breast_cancer_wisconsin,0.05,0.1,minority_to_majority,tabpfn_distpfn,0.9080687830687832,0.9080687830687832
breast_cancer_wisconsin,0.05,0.2,majority_to_minority,tabpfn_distpfn,0.955026455026455,0.955026455026455
breast_cancer_wisconsin,0.05,0.2,minority_to_majority,tabpfn_distpfn,0.8915343915343916,0.8819444444444445
breast_cancer_wisconsin,0.05,0.3,majority_to_minority,tabpfn_distpfn,0.9675925925925926,0.9708994708994708
breast_cancer_wisconsin,0.05,0.3,minority_to_majority,tabpfn_distpfn,0.8650793650793651,0.8611111111111112
breast_cancer_wisconsin,0.1,0.0,clean,tabpfn_distpfn,0.9470899470899472,0.9470899470899472
breast_cancer_wisconsin,0.1,0.05,majority_to_minority,tabpfn_distpfn,0.958994708994709,0.958994708994709
breast_cancer_wisconsin,0.1,0.05,minority_to_majority,tabpfn_distpfn,0.9613095238095236,0.95734126984127
breast_cancer_wisconsin,0.1,0.1,majority_to_minority,tabpfn_distpfn,0.9580026455026456,0.9659391534391536
breast_cancer_wisconsin,0.1,0.1,minority_to_majority,tabpfn_distpfn,0.9563492063492064,0.9523809523809522
breast_cancer_wisconsin,0.1,0.2,majority_to_minority,tabpfn_distpfn,0.9636243386243386,0.9629629629629628
breast_cancer_wisconsin,0.1,0.2,minority_to_majority,tabpfn_distpfn,0.916005291005291,0.9047619047619048
breast_cancer_wisconsin,0.1,0.3,majority_to_minority,tabpfn_distpfn,0.9771825396825397,0.9679232804232804
breast_cancer_wisconsin,0.1,0.3,minority_to_majority,tabpfn_distpfn,0.8802910052910052,0.8571428571428571
breast_cancer_wisconsin,0.2,0.0,clean,tabpfn_distpfn,0.9699074074074074,0.9699074074074074
breast_cancer_wisconsin,0.2,0.05,majority_to_minority,tabpfn_distpfn,0.9801587301587302,0.9801587301587302
breast_cancer_wisconsin,0.2,0.05,minority_to_majority,tabpfn_distpfn,0.9460978835978836,0.9460978835978836
breast_cancer_wisconsin,0.2,0.1,majority_to_minority,tabpfn_distpfn,0.9715608465608464,0.9715608465608464
breast_cancer_wisconsin,0.2,0.1,minority_to_majority,tabpfn_distpfn,0.9120370370370372,0.9080687830687832
breast_cancer_wisconsin,0.2,0.2,majority_to_minority,tabpfn_distpfn,0.9629629629629628,0.9662698412698412
